stname_iaa,distname_iaa,stid_iaa,distid_iaa,centroid_longitude,centroid_latitude,unique_dist_id
gujarat,ahmedabad,17,11,72.267197,22.7812,1711
gujarat,amreli,17,5,71.177803,21.373199,1705
gujarat,banaskantha,17,8,71.939903,24.219601,1708
gujarat,baroda,17,14,73.5327,22.230101,1714
gujarat,bhavnagar,17,4,71.770798,21.5945,1704
gujarat,broach,17,15,73.215401,21.7519,1715
gujarat,dangs,17,17,73.717697,20.8032,1717
gujarat,jamnagar,17,1,69.913498,22.2299,1701
gujarat,junagadh,17,6,70.365303,21.3123,1706
gujarat,kaira,17,12,72.904701,22.6824,1712
gujarat,kutch,17,7,69.960297,23.6411,1707
gujarat,mehsana,17,10,72.274803,23.632099,1710
gujarat,panchmahals,17,13,73.830902,22.8771,1713
gujarat,rajkot,17,2,70.778397,22.2472,1702
gujarat,sabarkantha,17,9,73.147202,23.6341,1709
gujarat,surat,17,16,73.2593,20.9739,1716
gujarat,surendranagar,17,3,71.539101,22.7759,1703
kerala,alleppey,24,7,76.492798,9.4113302,2407
kerala,cannanore,24,1,75.466599,12.1357,2401
kerala,ernakulam,24,5,76.584702,10.0036,2405
kerala,kottayam,24,6,76.917099,9.7873802,2406
kerala,kozhikode,24,2,76.053497,11.3798,2402
kerala,palghat,24,3,76.522697,10.8056,2403
kerala,quilon,24,8,76.919296,9.1007099,2408
kerala,trichur,24,4,76.323303,10.4695,2404
kerala,trivandrum,24,9,77.006897,8.6080799,2409
pondicherry,karaikal,26,2,79.799004,10.9337,2602
pondicherry,mahe,26,3,75.555099,11.7382,2603
pondicherry,pondicherry,26,1,79.721199,11.9071,2601
pondicherry,yanam,26,4,82.224403,16.712,2604
punjab,ambala,3,11,77.109398,30.3757,311
punjab,amritsar,3,2,74.896004,31.526501,302
punjab,bhatinda,3,8,75.106102,30.1896,308
punjab,ferozepur,3,3,74.6064,30.5282,303
punjab,gurdaspur,3,1,75.405602,32.0107,301
punjab,gurgaon,3,14,77.024803,28.167801,314
punjab,hissar,3,12,75.5186,29.288799,312
punjab,hoshiarpur,3,7,76.042198,31.5114,307
punjab,jullundur,3,5,75.684097,31.182199,305
punjab,kangra,3,18,76.809402,31.9468,318
punjab,kapurthala,3,6,75.4272,31.347401,306
punjab,karnal,3,15,76.761803,29.7432,315
punjab,lahaul and spiti,3,19,77.744301,32.4133,319
punjab,ludhiana,3,4,75.873497,30.7976,304
punjab,mahendragarh,3,16,76.154404,28.327299,316
punjab,patiala,3,10,76.409203,30.360399,310
punjab,rohtak,3,13,76.688599,28.834101,313
punjab,sangrur,3,9,75.972504,29.9534,309
punjab,simla and mahasu,3,17,76.910797,30.9863,317
rajasthan,ajmer,5,10,74.780098,26.2327,510
rajasthan,alwar,5,5,76.606796,27.584801,505
rajasthan,banswara,5,23,74.364197,23.508699,523
rajasthan,barmer,5,16,71.475998,25.725901,516
rajasthan,bharatpur,5,6,77.425102,27.0352,506
rajasthan,bhilwara,5,19,74.718102,25.4827,519
rajasthan,bikaner,5,2,73.0923,28.189199,502
rajasthan,bundi,5,24,75.770401,25.472401,524
rajasthan,chitorgarh,5,21,74.765198,24.605101,521
rajasthan,churu,5,3,74.574997,28.2829,503
rajasthan,dungarpur,5,22,73.819,23.7339,522
rajasthan,ganganagar,5,1,74.036301,29.3332,501
rajasthan,jaipur,5,8,75.877701,26.939899,508
rajasthan,jaisalmer,5,12,70.9067,27.061701,512
rajasthan,jalor,5,17,72.222702,25.1028,517
rajasthan,jhalawar,5,26,76.1931,24.3272,526
rajasthan,jhunjhunu,5,4,75.552696,28.0882,504
rajasthan,jodhpur,5,13,72.777199,26.7477,513
rajasthan,kota,5,25,76.4636,25.056101,525
rajasthan,nagaur,5,14,74.176804,27.066,514
rajasthan,pali,5,15,73.525497,25.711201,515
rajasthan,sawai madhopur,5,7,76.725304,26.393499,507
rajasthan,sikar,5,9,75.308403,27.6297,509
rajasthan,sirohi,5,18,72.799103,24.770901,518
rajasthan,tonk,5,11,75.675499,26.1408,511
rajasthan,udaipur,5,20,73.782799,24.616199,520